Nomer,textDisplay,label
0,"['mantap', 'indonesia', 'maju']",pro
1,"['mengitari', 'koruptor', 'gk', 'ya']",kontra
2,"['tau', 'rakyat', 'ni', 'kayaknya', 'ketawa', 'aja']",pro
3,"['pabrik', 'swallow', 'menangis', 'br', 'ga', 'yg', 'pake', 'swallow', 'karna', 'pantau']",kontra
4,"['awas', 'awasijalan', 'gang', 'ajabiar', 'uangmu', 'km', 'belikan', 'berasbuat', 'keluargamu']",kontra
5,"['bangga', 'bentar', 'kualat']",kontra
6,"['adil', 'gak', 'ngasih', 'helem', 'negara', 'bertahan', 'hidup', 'campurtangan', 'pemerintah', 'trus', 'palakin', 'bpjs', 'otomatis', 'desa', 'gitu', 'gak']",kontra
7,"['ujungnya', 'sih', 'udah', 'terbaca', 'denda', 'kasian', 'rakyat']",kontra
8,"['musti', 'dibarengi', 'kinerja', 'kepolisian', 'donk', 'biar', 'adil', 'motor', 'pegawe', 'hilang', 'kemaren', 'sby', 'malingnya', 'masuk', 'rumah', 'jendela', 'membobol', 'pintu', 'pagar', 'kamera', 'dimana', 'polisi', 'cepat', 'mengungkap', 'kinerja', 'kepolisian', 'yg', 'profesional', 'tunggu', 'kabarnya']",kontra
9,"['aturan', 'rakyat', 'denda', 'denda', 'ribet', 'peraturan', 'pandemi', 'cctv', 'dipasang', 'jalan', 'pemalakannya', 'supir', 'dipalak', 'dijalan', 'malak', 'rakyat', 'keamanan', 'diutamakan', 'pejabat', 'peraturan', 'tilang', 'kerja', 'gak', 'serius', 'tilang', 'nglanggar', 'tilang']",kontra
10,"['stiap', 'anggota', 'dpr', 'ruangannya', 'pasangin', 'cctv', 'rumahnya', 'kl', 'bs', 'tanem', 'palanya', 'wkwk']",kontra
11,"['kalo', 'platnya', 'pakein', 'case', 'gelap', 'gmn', 'oy', 'wkwk', 'ga', 'jg', 'ilang', 'tuh', 'etle']",kontra
12,"['kalo', 'plat', 'nopol', 'mati', 'gimana']",kontra
13,"['semestinya', 'disetiap', 'yg', 'kamera', 'tilang', 'lampu', 'merah', 'angka', 'detik', 'spy', 'terjebak', 'berhenti', 'dilampu', 'merah']",kontra
14,"['sugiarti', 'tilang', 'elektronik', 'adil', 'terjebak', 'lampu', 'merah', 'yg', 'timernya']",kontra
15,"['bg', 'medan', 'tb', 'timer', 'utk', 'trafic', 'light', 'ny', 'ud', 'lg', 'kesengajaan', 'dr', 'nth', 'biar', 'pengguna', 'jalan', 'terjebak']",kontra
16,"['raqib', 'atid', 'quotbaru', 'diaquot']",kontra
17,"['coba', 'koruptor', 'kasih', 'cctvgk', 'bkl', 'brani']",kontra
18,"['berlaku', 'kota', 'kah']",kontra
19,"['cctv', 'dimana', 'yg', 'bawak', 'mobil', 'motor', 'cemas']",kontra
20,"['kalo', 'biaya', 'nama', 'kendaraan', 'bekas', 'murahin', 'paksupaya', 'tilang', 'elektronik', 'akurat', 'pemilik', 'kendaraan', 'yg', 'punyasecara', 'skr', 'org', 'males', 'nama', 'karna', 'biaya', 'nama', 'yg', 'mahal']",kontra
21,"['plenjara', 'koruptor', 'blm', 'yaaahaha']",kontra
22,"['diperes', 'peres', 'denda', 'dinaikin', 'diturunin']",kontra
23,"['negara', 'kebingungan', 'cari', 'duit']",kontra
24,"['kemajuan', 'top']",pro
25,"['cctv', 'ga', 'sudut', 'lampu', 'merah', 'aja']",kontra
26,"['kalo', 'yg', 'melanggar', 'plat', 'merah', 'tibaquot', 'mati', 'gak', 'tuh', 'cctv', 'nya']",kontra
27,['bagus'],pro
28,"['area', 'surabaya', 'berlaku', 'etilang', 'mundur', 'lampu', 'merah', 'kondisi', 'manfaatkan', 'kesalahan', 'pengendarabrkondisi', 'berkendara', 'kmjam', 'kendaraan', 'garis', 'jalan', 'lampu', 'hijau', 'mendadak', 'kuning', 'ganti', 'merah', 'mundur', 'membahayakan', 'pengendara', 'brbrjika', 'rem', 'mendadak', 'kendaraan', 'brdilanjutkan', 'kena', 'tilangbrbrpilihan', 'yg', 'susah']",kontra
29,"['mening', 'saran', 'patuhi', 'aja', 'rambu', 'rambu', 'ngasiduit', 'polisi', 'mening', 'ksi', 'anak', 'yatim', 'polisi', 'banyk', 'duit', 'kasi', 'lgi', 'semoga', 'patu', 'rambu', 'lintas', 'biar', 'polisi', 'gigit', 'jari']",pro
30,"['tilang', 'elektronik', 'adil', 'donk', 'kendaraan', 'umumpribadi', 'konvoi', 'pribadi', 'tdk', 'yg', 'suka', 'pakai', 'jasa', 'polisi', 'protokolpm', 'dll', 'klakson', 'yg', 'memekakkan', 'telinga', 'memaksa', 'antrian', 'kendaraan', 'menerobos', 'jalur', 'busway', 'menerobos', 'lampu', 'merah', 'turuti', 'peraturan', 'kena', 'tilang', 'donk', 'kecuali', 'ambulans', 'ok', 'yahmohon', 'diperhatikan', 'ya', 'polterima', 'kasih']",pro
31,"['klo', 'nopol', 'tekuk', 'blakang', 'kelar', 'dah']",kontra
32,"['gw', 'mah', 'percaya', 'ama', 'orang', 'brkalo', 'yg', 'nonton', 'cctv', 'tidur', 'gimana', 'mending', 'pake', 'body', 'cam', 'biar', 'polisinya', 'jujur', 'menilang']",kontra
33,"['aja', 'duit', 'wkwk']",kontra
34,"['mantab', 'pulisilanjutkan', 'brsangat', 'inovatiff']",pro
35,"['tp', 'kualat']",kontra
36,"['terusin', 'aja', 'mencari', 'kesalahan', 'rakyat']",kontra
37,"['isalam', 'pesona', 'indonesia', 'bromo', 'amp', 'kawah', 'ijen', 'jatimi']",kontra
38,"['lupa', 'plat', 'merah', 'ping', 'hijau', 'brungu', 'pantau', 'ya', 'klw', 'melanggal']",pro
39,"['eh', 'mati', 'lampu', 'kameranya', 'mati']",kontra
40,"['besok', 'aturan', 'korupsi', 'tembak', 'mati']",kontra
41,"['tilangbrapa', 'sdh', 'payung', 'hukumnyatrus', 'tilang', 'manual', 'msh']",kontra
42,"['indonesia', 'bangun', 'tidur']",pro
43,"['kamera', 'pengumpul', 'duitini', 'spek', 'kameranya', 'dipakai', 'runway', 'bandara']",kontra
44,"['setuju', 'hapus', 'sistem', 'tilang', 'hapus', 'pajak', 'motor', 'khusus', 'mobil', 'aja', 'pajak', 'nya']",pro
45,"['teknologi', 'zaman', 'aplikasikan']",pro
46,"['singapura', 'malaysia', 'udah', 'belasan', 'udah', 'telat']",pro
47,"['cctv', 'gedung', 'drpd', 'online', 'jam', 'rakyat']",kontra
48,"['mantau', 'nya', 'gimana', 'wkwk']",kontra
49,['bravo'],pro
50,"['motor', 'kaga', 'no', 'pol', 'nya', 'gimana']",kontra
51,['wasalam'],kontra
52,"['pungliquot', 'lemes', 'dah']",pro
53,"['seprti', 'negar', 'yg', 'udh', 'maju']",pro
54,"['mending', 'gini', 'biar', 'ga', 'suap', 'suap']",pro
55,"['setup', 'tilang', 'elektronik', 'tilang', 'kayak', 'suka', 'polisi', 'nakal', 'nunggu', 'mangsa', 'berdiri']",pro
56,"['kasih', 'surat', 'tilangbrpengendara', 'ah', 'bodo', 'brpak', 'pol', 'sabar', 'perpanjang', 'stnk']",kontra
57,"['dsitu', 'barulah', 'persidangan', 'singkat', 'getar', 'badan']",pro
58,"['mantaaaab', 'pemotor', 'yg', 'arogan', 'amp', 'ga', 'sabaran', 'tilang']",pro
59,"['cctv', 'penembakan', 'laskar', 'km', 'jalan', 'toll', 'kemana', 'brcctv', 'efektif', 'mengawasi', 'pejabat', 'korup', 'oknum', 'punglibukan', 'sekedar', 'ngawasi', 'rakyat']",kontra
60,"['parkir', 'pake', 'electronic', 'risih', 'kalo', 'tukang', 'parkir']",pro
61,"['makan', 'empuk', 'menggiurkan', 'hackers']",kontra
62,"['ya', 'gak', 'nya', 'wkwk', 'emana', 'ngeliatin', 'orang', 'diem', 'lampu', 'merah', 'wkwk']",kontra
63,"['lapor', 'ndan', 'pandapatan', 'dr', 'tilang', 'mnurun']",pro
64,[],kontra
65,"['nunggu', 'cctv', 'gedung', 'wakil', 'rakyat']",kontra
66,"['udah', 'kmu', 'gak', 'liat']",kontra
67,"['medan', 'msh', 'wkwkwkwk', 'amburawut', 'medan']",kontra
68,"['yg', 'plat', 'nya', 'pake', 'mika', 'gelap', 'kyk', 'ya']",kontra
69,"['kalo', 'gua', 'mending', 'ditilang', 'langsung', 'tilang', 'elektronik']",kontra
70,['xixixixixixi'],kontra
71,"['iya', 'bang', 'motor', 'mahal', 'gocap', 'mobil', 'mahal', 'cepe', 'etilang', 'ribet', 'krn', 'gua', 'udah', 'kena', 'etilang']",kontra
72,['betulll'],pro
73,"['nego', 'ya']",kontra
74,"['aduh', 'negri', 'gue', 'jdi', 'kacau', 'klo', 'kya', 'gini', 'polisi', 'kerjanya', 'kerja', 'aja', 'bikin', 'maslh', 'lg', 'elektronik', 'kerjanya', 'tdr']",kontra
75,['gembul'],kontra
76,"['firmansah', 'id']",kontra
77,"['gimana', 'ngatur', 'polisinya', 'aj', 'kta', 'gusdur', 'polisi', 'polisi', 'patung', 'polisi', 'tidur']",kontra
78,"['mengatur', 'lintas', 'kerjaan', 'polisi', 'lintas', 'nilanginbrdari', 'polantas', 'tugasnya', 'ya', 'ngatur', 'lintas']",kontra
79,"['sky', 'netnya', 'install', 'ngeri', 'ngeri']",kontra
80,['bjir'],kontra
81,"['hai', 'pake', 'plat', 'palsu', 'yaa', 'wkwkw']",pro
82,"['allah', 'menghukum', 'manusia']",kontra
83,"['ojol', 'aja', 'drpd', 'ribet', 'urus', 'tilang']",kontra
84,"['bagus', 'nggak', 'opnumquot', 'yg', 'pungliquotkalao', 'melanggar', 'ya', 'melanggar', 'nggak', 'ya', 'nggak']",pro
85,"['gak', 'sampingan', 'deh', 'gwe']",kontra
86,"['kalo', 'plat', 'palsu', 'gimana', 'min']",kontra
87,"['denda', 'rb']",kontra
88,['wasalam'],kontra
89,"['jatuh', 'tempo', 'pembayaran', 'pajak', 'thn', 'yg', 'ganti', 'plat', 'nomor', 'kenderaan', 'plat', 'nomor', 'bln', 'selesai']",kontra
90,"['plat', 'nomor', 'daerah', 'sampe', 'sih', 'plat', 'nomor', 'doang']",kontra
91,['asik'],pro
92,"['bgmn', 'pengendara', 'yg', 'memakai', 'plat', 'palsu', 'clonning', 'plate', 'kendaraan']",kontra
93,"['yg', 'berat', 'pemilik', 'truk', 'pajak', 'memberat', 'pengusaha', 'pajak', 'nya', 'yg', 'nunggak', 'pajak', 'menunggu', 'remisi', 'tunggakan']",kontra
94,"['sanggah', 'ngasih', 'tilang', 'berdasarkan', 'nopol', 'video', 'cctvnya', 'tinggal', 'buktikan', 'kendaraan']",kontra
95,"['langsung', 'tukang', 'cilok', 'bawa', 'ht', 'rumahnya']",kontra
96,['sukasukasuka'],pro
97,"['stju', 'gua', 'tilang', 'kek', 'gini', 'drpd', 'gua', 'hrus', 'tilang', 'byar', 'trs', 'gk', 'tw', 'uangx', 'lari', 'kmn']",pro
98,"['lu', 'suka', 'kena', 'tilang', 'yabrbrdgn', 'cctv', 'lu', 'kena', 'tilang', 'berkali']",pro
99,"['lanjutannya', 'gmn', 'melanggar', 'polisinya', 'kerumah', 'gmn']",kontra
100,"['gembul', 'diblokir', 'plat', 'nomor', 'nya']",kontra
101,"['kirim', 'surat', 'tilang', 'kalo', 'gak', 'bayar', 'bayar', 'denda', 'tilang', 'tagihnya', 'bayar', 'pajak']",kontra
102,"['dikirim', 'surat', 'pos']",kontra
103,"['denda', 'byr', 'pajak']",kontra
104,"['mahal', 'mah', 'kalo', 'melanggar', 'ketimbang', 'langsung', 'ditilang', 'dijalan', 'dijalan', 'rb', 'bebas', 'ratusan', 'ribu']",kontra
105,"['zell', 'tetep', 'aja', 'polisinya', 'cariquot', 'kesalahannya', 'yg', 'duit']",kontra
106,"['side', 'polisi', 'indo', 'pinter', 'alesan', 'gk', 'melanggar', 'jg', 'tetep', 'mencari', 'kesalahan', 'pengendaranya']",kontra
107,"['side', 'kaya', 'lu', 'gk', 'dosa', 'aja', 'lu', 'sok', 'alim', 'lu']",kontra
108,"['ya', 'ga', 'melanggar', 'gitu', 'aja', 'susah']",pro
109,"['side', 'setuju', 'komentar', 'cerdas']",pro
110,[],pro
111,"['hati', 'hatijangan', 'senang', 'melanggar', 'gak', 'cegat', 'brbrnanti', 'berkat', 'tilang', 'elektronik', 'surat', 'tagihan', 'denda', 'numpuk']",pro
112,"['bayarnya', 'dendanya', 'pake', 'paylater']",kontra
113,"['gamau', 'denda', 'patuh']",pro
114,"['hidup', 'resah', 'iya', 'nggak', 'denda', 'sih', 'denda', 'uang', 'utamakan', 'nyari', 'uangnya', 'aja', 'dah', 'susah', 'ditambah', 'susah', 'yah']",kontra
115,"['robots', 'gameroom', 'yg', 'ga', 'masukin', 'sel']",pro
116,"['perang', 'aja', 'duit']",kontra
117,"['indonesia', 'udah', 'ketingalan', 'lihat', 'diluar', 'negeri', 'meter', 'camera', 'cctv', 'dijalan', 'jln', 'tol', 'penguna', 'jln', 'dipantau', 'kendaraan', 'yg', 'melebihi', 'kecepatan', 'yg', 'ditentukan', 'langsung', 'ketangkap', 'kamera', 'pengawas', 'kenak', 'tilangterus', 'kecelakaan', 'polisi', 'gampang', 'ngusutnya', 'ngk', 'ribet', 'menyalahkan', 'trus', 'nie', 'kendaraan', 'diluar', 'negeri', 'cctv']",pro
118,"['indonesia', 'majusemoga', 'maju', 'lagiamin']",pro
119,"['brpa', 'meter', 'wqwqw']",kontra
120,"['singaraja', 'bali', 'santai', 'tilang', 'elektronik', 'pelanggaran']",kontra
121,"['first', 'comment', 'like', 'dongbrbr']",kontra