publishedAt,authorDisplayName,textDisplay,likeCount
2022-10-26T20:54:05Z,Bella Shafira,Mantap indonesia makin maju,0
2022-06-30T14:22:57Z,Kama Liya,Mengitari koruptor bisa GK ya,0
2022-06-27T19:40:11Z,kebusukan,belum tau rakyat ni kayaknya.... mau ketawa aja,0
2022-06-26T00:36:06Z,RAFI PRATAMA,pabrik swallow menangis melihat ini ğŸ˜‚ğŸ˜‚ğŸ˜‚<br>( 2023 ) ga ada yg pake swallow karna di pantau terus ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚,0
2022-06-15T13:49:31Z,kebusukan,"awas kita di awasi....jalan gang aja....biar uangmu bisa km belikan beras,buat keluargamu",0
2022-03-26T07:15:34Z,ainur rofiq,"Jangan bangga dulu, bentar lagi juga kualat",0
2022-02-03T12:00:48Z,anang pamungkas,"Tidak adil menurut saya, gak ngasih helem, kita di negara ini bertahan hidup sendiri, campurtangan pemerintah masih sedikit, trus kita mau di palakin? BPJS secara otomatis dapat dari desa dong, gitu saja gak bisa.",0
2021-04-26T16:53:38Z,Muhammad Fauzi,"Ujungnya sih udah terbaca ,denda , kasian buat rakyat kecil",0
2021-04-14T00:14:10Z,rwin suryaningrat,Musti  dibarengi dengan kinerja kepolisian juga donk biar adil. Motor pegawe saya baru hilang kemaren di sby. Malingnya masuk rumah lewat jendela dan membobol pintu pagar. Saya yakin dengan adanya kamera dimana2. Polisi akan cepat dapat mengungkap. 100% saya yakin dengan kinerja kepolisian yg profesional. Saya tunggu kabarnya pakğŸ‘,1
2021-04-06T11:24:15Z,Salisin,"Satu kata aturan jangan buat rakyat terus denda denda terus ribet banyak peraturan lagi pandemi juga,, harusnya cctv itu dipasang di jalan yang banyak pemalakannya itu banyak supir dipalak dijalan jangan malak rakyat keamanan juga harus diutamakan, pejabat juga harus diberi peraturan tilang kerja gak serius tilang nglanggar tilang",0
2021-04-02T12:05:56Z,KONGKOW GAMING,"Stiap anggota dpr ruangannya di pasangin 10 cctv lah, termasuk rumahnya kl bs tanem di palanya wkwk",2
2021-04-02T12:05:10Z,KONGKOW GAMING,Nah kalo platnya di pakein case gelap gmn oy wkwk... Ga lama jg ilang tuh etle,0
2021-04-01T13:59:57Z,Afevri Yulian,Kalo plat nopol mati gimana?,0
2021-03-31T13:40:40Z,ahmad mandes,Semestinya disetiap yg ada kamera tilang lampu merah diberi angka detik spy tidak terjebak saat mau berhenti atau lanjut dilampu merah,0
2021-04-14T03:03:42Z,ahmad mandes,@Sri Sugiarti tilang elektronik tidak adil kalau terjebak dalam lampu merah yg tidak ada timernya,0
2021-04-14T02:29:09Z,Sri Sugiarti,"Dulu ada bg d medan, tapi malah tb2 timer utk trafic light&#39;ny ud g ada lg, itulah kesengajaan dr nth mana biar kita pengguna jalan terjebak",0
2021-03-30T23:28:49Z,semi kembang jati,Raqib dan Atid : &quot;Baru tahu dia&quot;,0
2021-03-30T00:50:36Z,CASSPER OFFICIAL,Coba koruptor di kasih cctv.gk bkl braniğŸ˜‚ğŸ˜‚ğŸ˜‚,1
2021-03-29T12:20:12Z,Rahman Rangga69,Ini berlaku hanya di kota2 saja kah...?,0
2021-03-28T23:53:54Z,Ridwan aja,Cctv ada dimanaÂ² yg bawak mobil motor jadi cemas ğŸ¤£,0
2021-03-27T15:43:51Z,Arief Abdullah,"Kalo bisa sekalian biaya balik nama kendaraan bekas di murahin pak,supaya tilang elektronik lebih akurat ke pemilik kendaraan yg punya,secara skr org2 males balik nama karna biaya balik nama yg mahal",1
2021-03-27T05:37:49Z,Irfan khncul 28,"E plenjara buat koruptor blm ada yaa,ahaha",0
2021-03-26T11:51:21Z,Noily,"Diperes peres, denda dinaikin atau diturunin",0
2021-03-26T03:51:50Z,ARANDRA RAYYAN RAMADHAN,Negara kebingungan cari duit,0
2021-03-26T01:37:42Z,Bagus,ada kemajuan top,1
2021-03-25T12:05:27Z,Karsa Annisa,Itu cctv ga di semua sudut kan. cuma di lampu merah aja.,0
2021-03-25T11:04:29Z,Slam Riyan,"Kalo yg melanggar plat merah, tiba&quot; mati gak tuh cctv nya",0
2021-03-25T02:04:10Z,Ba Har,Sangat bagus,0
2021-03-25T00:16:15Z,hnd,Di seluruh area surabaya yang sudah berlaku E-TILANG belum ada waktu mundur untuk lampu merah. Kondisi seperti ini di manfaatkan untuk mendapatkan kesalahan pengendara.<br>Kondisi berkendara 40-50km/jam saat kendaraan di garis jalan lampu hijau mendadak kuning ganti merah tanpa adanya waktu mundur sangat membahayakan pengendara. <br><br>*Jika rem mendadak di belakang ada kendaraan lain <br>*Dilanjutkan kena tilang<br><br>Pilihan yg susah,0
2021-03-24T15:20:09Z,dor ulang musik,mening saran saya patuhi aja rambu rambu ..dari pada ngasiduit polisi mening ksi anak yatim polisi banyk duit di kasi lgi ..semoga semua patu rambu2 lalu lintas biar polisi gigit jari,0
2021-03-24T06:17:25Z,cute cute,"Boleh saja Tilang Elektronik, tapi harus adil juga donk, bukan hanya bagi kendaraan umum/pribadi, tapi para konvoi pribadi tdk jelas yg suka pakai jasa Polisi Protokol/PM dll dengan klakson yg memekakkan telinga memaksa lewat di tengah antrian kendaraan, bahkan sering menerobos jalur busway dan menerobos lampu merah.... juga harus turuti peraturan dan kena tilang juga donk!!! Kecuali ambulans masih ok yah...mohon diperhatikan juga ya pak Pol...terima kasihğŸ™",0
2021-03-23T17:18:56Z,Sang Malikal,klo nopol di tekuk depan blakang kelar dah,0
2021-03-23T15:37:52Z,Vigil Wrath,Gw mah percaya ama orang <br>Kalo yg nonton cctv tidur gimana mending pake body cam biar polisinya pada jujur dari 0% jadi 90% pada saat menilang,0
2021-03-23T14:39:03Z,Mogolvidio,Sama aja duit wkwk,0
2021-03-23T12:00:37Z,Ranxzs Channel,MANTAB PAK PULISI...LANJUTKAN !!!<br>SANGAT INOVATIFF ğŸ‘ğŸ‘ğŸ‘ğŸ‘,2
2022-03-26T07:14:11Z,ainur rofiq,Tp lama2 kualat,0
2021-03-23T10:46:55Z,Nila Nila,Terusin aja mencari kesalahan rakyat kecil pak.....,1
2021-03-23T08:41:15Z,ABS Travel Indonesia,<i>salam pesona indonesia bromo &amp; kawah ijen jatim</i>,0
2021-03-23T08:37:05Z,Suhaeri Heri,Jangan lupa plat merah ping hijau <br>Ungu.. juga d pantau ya klw melanggal,0
2021-03-23T23:50:11Z,M Faiz Risky,"Eh tiba tiba mati lampu, kameranya mati :V",0
2021-03-23T08:23:00Z,Eko Mahendra,Besok buat aturan korupsi tembak mati,0
2021-03-23T08:08:27Z,DILA_ZAHRA,E TILANG.....<br>APA SDH ADA PAYUNG HUKUMNYA....TRUS TILANG MANUAL APA MSH ADA....,0
2021-03-23T08:05:57Z,Riko 068,Indonesia baru bangun tidur.,0
2021-03-23T08:04:42Z,Great Army,Kamera pengumpul duit....ğŸ˜‚ğŸ˜‚ğŸ˜‚...ini spek kameranya sama seperti yang dipakai di runway bandara........,2
2021-03-23T08:00:35Z,panglima perang,"Saya lebih setuju hapus sistem tilang , hapus pajak motor , khusus mobil aja pajak nya",1
2021-03-23T07:57:00Z,Bunda Almira,ini teknologi zaman kapan ... baru sekarang kita bisa aplikasikan .... terlalu,0
2021-03-23T07:55:57Z,Danang Dirgantara,"Singapura dan malaysia udah belasan tahun, kita udah telat jauh",1
2021-03-23T07:55:12Z,Qualveint,CCTV di gedung drpd dong online 24 jam buat rakyat,6
2021-03-23T08:42:06Z,Eggy Agustino,mantau nya gimana? wkwk,0
2021-03-23T07:52:21Z,Rizky Derio,BRAVO !,0
2021-03-23T07:51:02Z,FRM,BANYAK MOTOR KAGA ADA NO POL NYA GIMANA?,1
2021-03-23T15:35:51Z,Vigil Wrath,Wasalam,0
2021-03-23T07:48:32Z,Badru Zaman,Para pungli&quot; lemes dahğŸ¤£,4
2021-03-23T07:44:44Z,Cheriblend88,Seprti di negar2 yg udh  maju,0
2021-03-23T07:41:47Z,Gakebagiannama,"mending gini lah, biar ga usah suap suap",0
2021-03-23T07:38:41Z,momento,"Saya setup dengan tilang elektronik, daripada tilang kayak biasa, suka ada polisi nakal nunggu mangsa berdiri.",0
2021-03-23T07:37:14Z,Om.Gembul,Di kasih surat tilang.<br>Pengendara : ah masa bodo lah ..<br>Pak pol : kami sabar menanti saat anda perpanjang stnk ğŸ˜€,5
2021-03-23T07:56:05Z,Rivaldy Dosantos,Dsitu barulah di mulai persidangan singkat namun membuat getar badan ğŸ˜ğŸ¤£,0
2021-03-23T07:35:23Z,Asti Tandayu,Mantaaaab.! Buat pemotor yg arogan &amp; ga sabaran.! Tilang MENANTI ANDA.!,8
2021-03-23T07:35:10Z,Boskita Channel,cctv penembakan laskar 50 km jalan toll kemana ???<br>cctv paling efektif  mengawasi pejabat korup dan oknum pungli...bukan sekedar ngawasi rakyat saja,1
2021-03-23T07:32:17Z,Yoeeds,Dan parkir kalau bisa pake electronic juga risih kalo ada tukang parkir.,0
2021-03-23T07:30:49Z,MidniteSan,Makan empuk menggiurkan bagi para hackers...ğŸ˜,0
2021-03-23T07:38:01Z,momento,"Ya tapi gak ada guna nya juga wkwk, emana buat apa? Buat ngeliatin orang diem di lampu merah? wkwk",0
2021-03-23T07:24:14Z,GED,lapor ndan pandapatan dr tilang mnurun,1
2021-03-23T07:23:51Z,Sofa Biru,ğŸš™,0
2021-03-23T07:14:38Z,evan bahtiar1993,Nunggu cctv di gedung wakil rakyat,5
2021-03-23T08:25:07Z,War Robots Gameroom,udah ada tapi kmu gak boleh liat,1
2021-03-23T07:14:27Z,heltika sihotang,Medan msh lama wkwkwkwk amburawut medan,0
2021-03-23T07:13:04Z,KingLosTz YT,Itu yg plat nya pake mika gelap kyk mana ya,0
2021-03-23T07:11:35Z,BasNug,Kalo gua mending ditilang langsung daripada tilang elektronik,0
2021-03-26T03:06:51Z,Infinity mamanks,Xixixixixixi,0
2021-03-23T11:27:46Z,BasNug,"Iya bang motor paling mahal juga gocap, mobil paling mahal cepe, dari pada e-tilang malah ribet, krn gua udah pernah kena e-tilang",0
2021-03-23T08:43:47Z,Anisuryanti Suryanti,"Betulll sekali,",0
2021-03-23T07:43:30Z,Om.Gembul,Bisa nego ya ğŸ˜€,0
2021-03-23T07:11:09Z,Heru Firmansah ID,"Aduh negri gue jdi kacau ,klo kya gini polisi kerjanya apa? Wong kerja aja sering bikin maslh apa lg elektronik ,apa kerjanya cuma tdrğŸ˜´",1
2021-03-23T08:04:39Z,Zenma Origami,@Om.Gembul harusnya,0
2021-03-23T08:02:45Z,Om.Gembul,@Heru Firmansah ID ğŸ˜€ğŸ˜€,0
2021-03-23T08:00:41Z,Heru Firmansah ID,"Gimana mau ngatur  ,wong polisinya aj kta gusdur ,polisi ada 2 polisi patung dan polisi tidur",1
2021-03-23T07:41:25Z,Om.Gembul,"Mengatur lalu lintas lah kerjaan polisi lalu lintas, bukan nilangin..<br>Dari dulu juga polantas tugasnya ya ngatur lalu lintas. ğŸ˜€ğŸ˜€",1
2021-03-23T07:10:11Z,Ananto Prasetyo,Sky netnya di install? Ngeri ngeri....,2
2021-03-31T02:33:48Z,AMAGI,Bjir,0
2021-03-23T07:09:53Z,Yuen Fajar,Hai kalian jangan pake plat palsu yaa wkwkw,0
2021-03-23T07:06:30Z,BOGDANOFF,HANYA ALLAH YANG BOLEH MENGHUKUM MANUSIA,0
2021-03-23T07:05:37Z,pW,Naik ojol aja d drpd ribet urus tilangğŸ˜„,7
2021-03-23T07:02:17Z,baits,Wah bagus itu.  Jadi nggak ada lagi opnum&quot; yg pungli&quot;.kalao melanggar ya melanggar nggak ya nggak,7
2021-03-23T07:01:25Z,Cahaya sang petualang,Gak ada sampingan lagi deh gwe...ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£,2
2021-03-23T06:56:43Z,pencinta Kominfo,Kalo plat palsu gimana min,0
2021-03-31T02:34:41Z,AMAGI,Denda 500rb,0
2021-03-23T15:35:35Z,Vigil Wrath,Wasalam,0
2021-03-23T06:54:26Z,Jon Marbun,Bagaimana saat jatuh tempo pembayaran pajak thn kelima yg harus ganti plat nomor kenderaan sementara plat nomor 4 bln baru selesai.,0
2021-03-23T07:40:37Z,Om.Gembul,Plat nomor sampai 4 bulan? Daerah mana? Di tempat saya hari itu juga jadi.. masa sampe 4 bulan sih plat nomor doang?,1
2021-03-23T06:54:04Z,ACctv Saroalngun,asik,0
2021-03-23T06:52:40Z,Uriel Huda,Bgmn bila ada pengendara yg memakai plat palsu / clonning plate kendaraan lain??,1
2021-03-23T07:47:52Z,Bapak Suroso,Yg menjadi berat ini bagi pemilik truk pajak terlalu memberat kan pengusaha terlalu besar pajak nya sehingga banyak yg nunggak pajak kami menunggu remisi 0 dari tunggakan,0
2021-03-23T07:39:47Z,Om.Gembul,"Bisa di sanggah, kan mereka ngasih tilang berdasarkan nopol dan tentunya ada video cctvnya kan... Tinggal kita buktikan balik bahwa itu bukan kendaraan kita ğŸ˜€",0
2021-03-23T07:26:53Z,Damis Bachtiar,langsung nanti ada tukang cilok bawa HT lewat depan rumahnya.,0
2021-03-23T06:52:16Z,Sarah Wassahua,Aku suka...suka...suka...,1
2021-03-23T06:50:04Z,Yusran Sabandy,Stju gua tilang kek gini drpd gua hrus di tilang byar trs gk tw uangx lari kmn,6
2021-03-28T23:57:31Z,Ridwan aja,Lu suka kena tilang ya<br><br>Dgn Cctv ini lu bakal kena tilang berkali2,0
2021-03-23T06:46:59Z,paman saturnus,terus lanjutannya gmn kalau misalnya melanggar? apa polisinya datang kerumah atau gmn?,0
2021-03-23T11:28:18Z,BasNug,@Om.Gembul diblokir plat nomor nya,0
2021-03-23T07:44:17Z,Om.Gembul,"Di kirim surat tilang, kalo gak bayar bayar.. denda tilang di tagihnya saat bayar pajak.",1
2021-03-23T07:12:00Z,BasNug,Dikirim surat lewat pos,0
2021-03-23T07:06:40Z,Pramono Tjatoer Satrijo,Akhir tahun denda saat byr pajak,0
2021-03-23T06:24:20Z,Wiro Sableng,Bisa lebih mahal ini mah kalo melanggar. Ketimbang langsung ditilang dijalan. Dijalan paling 30 / 50 rb  bebas.. ini bisa ratusan ribu.,0
2021-03-23T07:19:19Z,Wiro Sableng,@Flugel Zell tetep aja polisinya cari&quot; kesalahannya  kan yg penting duit,1
2021-03-23T07:18:50Z,Wiro Sableng,@Right Side polisi indo itu pinter alesan walaupun gk melanggar jg tetep mencari kesalahan pengendaranya,1
2021-03-23T07:14:53Z,Wiro Sableng,@Right Side kaya lu gk punya dosa aja lu.. sok alim lu,0
2021-03-23T06:40:49Z,Flugel Zell,Ya ga usah melanggar gitu aja kok susah,1
2021-03-23T06:38:37Z,Bagus Wicaksono,"@Right Side Setuju, baru ini komentar yang cerdas.",2
2021-03-23T06:24:12Z,imam surahman,ğŸ˜‡,0
2021-03-23T06:12:09Z,Lee Guan Pit,Hati hati....jangan senang kalau melanggar tapi gak di cegat. <br><br>Nanti berkat tilang elektronik surat dan tagihan denda numpuk.,20
2022-10-31T13:29:07Z,bengeuthayam,Lama lama bayarnya dendanya bisa pake paylater,0
2021-04-10T12:35:07Z,slash pastel,@Salisin kalau gamau di denda y patuh :),0
2021-04-06T11:13:31Z,Salisin,"Semakin tambah hidup semakin dibuat resah iya nggak ?, Denda sih denda tapi kok uang selalu di utamakan padahal nyari uangnya aja dah susah kok ditambah susah lagi yah ?",0
2021-03-23T10:35:54Z,panglima perang,@War Robots Gameroom yg penting ga di masukin sel ğŸ˜‹,1
2021-03-23T08:25:40Z,War Robots Gameroom,@panglima perang sama aja duit,2
2021-03-23T06:06:38Z,poyeng123 poyeng,"Indonesia itu udah ketingalan jauh sama luar lihat diluar negeri berapa meter ada camera cctv dijalan apa lagi jln tol, jadi penguna jln setiap saat bisa dipantau bahkan kendaraan yg melebihi kecepatan yg ditentukan langsung bisa ketangkap kamera pengawas bisa dipastikan mereka kenak tilang,terus kalau ada kecelakaan polisi gampang ngusutnya ngk usah pada ribet saling menyalahkan satu sama lain, trus nie semua kendaraan diluar negeri depan belakang pasti ada cctv semua,",0
2021-03-23T06:05:03Z,Musafir Channel,Indonesia semakin maju.semoga lebih maju lagi..Amin..,3
2021-03-23T07:07:20Z,Y B,"Brpa meter, wqwqw",0
2021-03-23T06:00:23Z,Putu Udayana,Di singaraja bali. Santai tidak ada tilang elektronik. Pelanggaran tinggi sekali.,2
2021-03-23T05:58:35Z,ardi ansyah,"First comment, like dong<br><br>ğŸ‘‡ğŸ˜‚",1
